datetime,temperature,solar_irradiance,windspeed_north,windspeed_east,pressure,spec_humidity
2019-01-08 18:00:00,6.440637207031273,0.0,-4.009227,1.1425071,102199.664,0.0051564537
2019-01-08 19:00:00,6.287255859375023,0.0,-3.9047446,0.9688397,102215.625,0.0051199235
2019-01-08 20:00:00,6.174005126953148,0.0,-3.7505894,0.93386924,102220.54,0.005060703
2019-01-08 21:00:00,6.027062988281273,0.0,-3.7579124,0.9344826,102223.03,0.0050379634
2019-01-08 22:00:00,5.840722656250023,0.0,-3.833124,0.90189695,102222.41,0.005051632
2019-01-08 23:00:00,5.656152343750023,0.0,-3.9580984,0.83315384,102212.48,0.00505848
2019-01-09 00:00:00,5.511743164062523,0.0,-4.049896,0.70871395,102211.53,0.0050528334
2019-01-09 01:00:00,5.387719726562523,0.0,-4.025293,0.5362168,102204.23,0.005037851
2019-01-09 02:00:00,5.312158203125023,0.0,-4.0035872,0.3863349,102195.23,0.005038278
2019-01-09 03:00:00,5.387811279296898,0.0,-3.9541612,0.32044435,102176.125,0.005044358
2019-01-09 04:00:00,5.383050537109398,0.0,-3.7694798,0.451598,102138.13,0.0050182864
2019-01-09 05:00:00,5.099084472656273,0.0,-3.6794472,0.58428246,102115.07,0.004995814
2019-01-09 06:00:00,4.964898681640648,0.0,-3.7616892,0.43600568,102126.555,0.004982548
2019-01-09 07:00:00,4.943963623046898,0.0,-3.8380113,0.10027018,102152.23,0.0049855346
2019-01-09 08:00:00,5.030114746093773,14.765625,-3.7786436,-0.39591432,102202.19,0.0049642776
2019-01-09 09:00:00,5.208032226562523,80.0,-3.6825209,-0.90755045,102241.3,0.0050990125
2019-01-09 10:00:00,6.301965332031273,177.25,-3.5627766,-1.2454965,102237.266,0.005113506
2019-01-09 11:00:00,7.146936035156273,231.125,-3.3688004,-1.3330454,102202.34,0.004887964
2019-01-09 12:00:00,7.369104003906273,246.5,-3.5435638,-1.6480931,102184.836,0.004768897
2019-01-09 13:00:00,7.378625488281273,219.8125,-3.341843,-1.9491167,102152.37,0.004644071
2019-01-09 14:00:00,7.170983886718773,158.8125,-2.6329768,-1.755298,102132.2,0.004584293
2019-01-09 15:00:00,6.663964843750023,54.015625,-2.0571218,-1.4826418,102124.79,0.00451331
2019-01-09 16:00:00,5.370111083984398,1.8232422,-2.0268633,-1.5771339,102142.83,0.004253641
2019-01-09 17:00:00,4.680993652343773,0.0,-1.9313965,-1.6034915,102156.66,0.0041145394
2019-01-09 18:00:00,4.257745361328148,0.0,-1.8810724,-1.337352,102158.06,0.0040004784
2019-01-09 19:00:00,3.9677062988281477,0.0,-2.0301242,-1.2296951,102190.97,0.0039474
2019-01-09 20:00:00,3.6540161132812727,0.0,-2.0613146,-1.6205137,102243.74,0.003939838
2019-01-09 21:00:00,3.4291625976562727,0.0,-1.7636133,-1.9321632,102259.79,0.0038979189
2019-01-09 22:00:00,3.1200500488281477,0.0,-1.455498,-1.8763069,102241.4,0.0038158833
2019-01-09 23:00:00,2.9914184570312727,0.0,-1.3336728,-1.6074487,102221.65,0.0037259308
2019-01-10 00:00:00,2.9620910644531477,0.0,-1.2612933,-1.430448,102210.94,0.0036537845
2019-01-10 01:00:00,2.8257080078125227,0.0,-1.1214551,-1.5368887,102220.4,0.0036221736
2019-01-10 02:00:00,2.6154724121093977,0.0,-0.85926425,-1.634091,102244.22,0.0036097437
2019-01-10 03:00:00,2.6385742187500227,0.0,-0.64975953,-1.3302687,102232.664,0.0035654816
